node009
100  : iteration , Loss : 0.948334
200  : iteration , Loss : 0.93472
300  : iteration , Loss : 0.933419
400  : iteration , Loss : 0.930435
500  : iteration , Loss : 0.928233
600  : iteration , Loss : 0.924058
700  : iteration , Loss : 0.918797
800  : iteration , Loss : 0.913437
900  : iteration , Loss : 0.910008
1000  : iteration , Loss : 0.908105
1100  : iteration , Loss : 0.903531
1200  : iteration , Loss : 0.901311
1300  : iteration , Loss : 0.895805
1400  : iteration , Loss : 0.892594
1500  : iteration , Loss : 0.883004
1600  : iteration , Loss : 0.869869
1700  : iteration , Loss : 0.850692
1800  : iteration , Loss : 0.837798
1900  : iteration , Loss : 0.823119
2000  : iteration , Loss : 0.818502
2100  : iteration , Loss : 0.789211
2200  : iteration , Loss : 0.783741
2300  : iteration , Loss : 0.783561
2400  : iteration , Loss : 0.758664
2500  : iteration , Loss : 0.760498
2600  : iteration , Loss : 0.764326
2700  : iteration , Loss : 0.737742
2800  : iteration , Loss : 0.717273
2900  : iteration , Loss : 0.705174
3000  : iteration , Loss : 0.703383
3100  : iteration , Loss : 0.694174
3200  : iteration , Loss : 0.674747
3300  : iteration , Loss : 0.660947
3400  : iteration , Loss : 0.649273
3500  : iteration , Loss : 0.661686
3600  : iteration , Loss : 0.623473
3700  : iteration , Loss : 0.623014
3800  : iteration , Loss : 0.611755
3900  : iteration , Loss : 0.603863
4000  : iteration , Loss : 0.614827
4100  : iteration , Loss : 0.589824
4200  : iteration , Loss : 0.574128
4300  : iteration , Loss : 0.547888
4400  : iteration , Loss : 0.539429
4500  : iteration , Loss : 0.548419
4600  : iteration , Loss : 0.526538
4700  : iteration , Loss : 0.517011
4800  : iteration , Loss : 0.509773
4900  : iteration , Loss : 0.502153
5000  : iteration , Loss : 0.490726
5100  : iteration , Loss : 0.508972
5200  : iteration , Loss : 0.474709
5300  : iteration , Loss : 0.465002
5400  : iteration , Loss : 0.460758
5500  : iteration , Loss : 0.448717
5600  : iteration , Loss : 0.454926
5700  : iteration , Loss : 0.448344
5800  : iteration , Loss : 0.444319
5900  : iteration , Loss : 0.424759
6000  : iteration , Loss : 0.428204
6100  : iteration , Loss : 0.425282
6200  : iteration , Loss : 0.416876
6300  : iteration , Loss : 0.437638
6400  : iteration , Loss : 0.398388
6500  : iteration , Loss : 0.396003
6600  : iteration , Loss : 0.388807
6700  : iteration , Loss : 0.396877
6800  : iteration , Loss : 0.395265
6900  : iteration , Loss : 0.372321
7000  : iteration , Loss : 0.37392
7100  : iteration , Loss : 0.370434
7200  : iteration , Loss : 0.360474
7300  : iteration , Loss : 0.357997
7400  : iteration , Loss : 0.365106
7500  : iteration , Loss : 0.352877
7600  : iteration , Loss : 0.377463
7700  : iteration , Loss : 0.36746
7800  : iteration , Loss : 0.339427
7900  : iteration , Loss : 0.336856
8000  : iteration , Loss : 0.327316
8100  : iteration , Loss : 0.336159
8200  : iteration , Loss : 0.32862
8300  : iteration , Loss : 0.320843
8400  : iteration , Loss : 0.317567
8500  : iteration , Loss : 0.334172
8600  : iteration , Loss : 0.306835
8700  : iteration , Loss : 0.311427
8800  : iteration , Loss : 0.311088
8900  : iteration , Loss : 0.308757
9000  : iteration , Loss : 0.302698
9100  : iteration , Loss : 0.32229
9200  : iteration , Loss : 0.301848
9300  : iteration , Loss : 0.291489
9400  : iteration , Loss : 0.293579
9500  : iteration , Loss : 0.297844
9600  : iteration , Loss : 0.306496
9700  : iteration , Loss : 0.284754
9800  : iteration , Loss : 0.292972
9900  : iteration , Loss : 0.282777
Final test loss 0.603386
